category	workflow	num_reads
Target	both	55396
Target Genus	both	103383
Target Family	both	4295
Higher Tax. Level	both	80559
Congeneric species	both	10470
Confamilial Taxa	both	313
Misassigned	both	104
Unidentified	both	1089054
Target	holi	70357
Target Genus	holi	90547
Target Family	holi	12741
Higher Tax. Level	holi	33798
Congeneric species	holi	36274
Confamilial Taxa	holi	2514
Misassigned	holi	160
Unidentified	holi	230674
Target	wholeskim	113733
Target Genus	wholeskim	94665
Target Family	wholeskim	4551
Higher Tax. Level	wholeskim	112766
Congeneric species	wholeskim	46082
Confamilial Taxa	wholeskim	3578
Misassigned	wholeskim	919
Unidentified	wholeskim	100771
