71274	21	asterids
3516	29	Alnus\nincana
3517	30	Alnus glutinosa
3518	34	Alnus alnobetula subsp. crispa
3515	36	Alnus
253214	54	Alnus alnobetula subsp. fruticosa
366499	57	Alnus incana subsp. kolaensis
3398	63	Magnoliopsida
3502	117	Fagales
58024	293	Spermatophyta
71275	654	rosids
91835	1050	fabids
216987	1126	Betula neoalaskana
216993	1578	Betula fruticosa
3514	2066	Betulaceae
78536	2625	Euphyllophyta
38787	3174	Betula pubescens
2820156	3415	Betula nana subsp. tundrarum
58023	3850	Tracheophyta
1437201	4551	Pentapetalae
717482	4889	Betula nana subsp. exilis
1623466	5726	Betula nana subsp. nana
1437183	6738	Mesangiospermae
216990	7450	Betula nana
3504	45511	Betula
38784	0	Alnus\nalnobetula
