29739	22	Myrica gale
3516	30	Alnus incana
71274	30	asterids
3517	36	Alnus glutinosa
3518	45	Alnus alnobetula subsp. crispa
253214	46	Alnus alnobetula subsp. fruticosa
3515	61	Alnus
366499	94	Alnus incana subsp. kolaensis
3398	103	Magnoliopsida
3502	187	Fagales
58024	454	Spermatophyta
71275	564	rosids
91835	1221	fabids
2820156	1255	Betula nana subsp. tundrarum
216987	1872	Betula neoalaskana
1623466	2010	Betula nana subsp. nana
216993	2225	Betula fruticosa
3514	2832	Betulaceae
58023	3101	Tracheophyta
216990	3379	Betula nana
1437201	4174	Pentapetalae
78536	4413	Euphyllophyta
717482	5129	Betula nana subsp. exilis
1437183	7330	Mesangiospermae
38787	8213	Betula pubescens
3504	49203	Betula
38784	0	Alnus alnobetula
